Observer,FlankinDirection,Eccen_X,Eccen_Y,RadialEccentricity,CrowdingDistance,TargetDeg,Font,Meridian,Task,Session
S6,horizontal,0,0,0,0.125132560454898,0.0925159381579489,Sloan,fovea,acuity,2
S6,horizontal,0,0,0,0.0608752996807614,0.0458980434100978,Pelli,fovea,crowding,2
S6,tangential,5,0,5,0.439401101518911,0.325929388489302,Sloan,Right,crowding,2
S6,tangential,-5,-0,5,0.473201186251135,0.338000847322239,Sloan,Left,crowding,2
S6,radial,5,0,5,0.980202457234494,0.700144612310353,Pelli,Right,crowding,2
S6,radial,-5,-0,5,0.997102499600605,0.71221607114329,Pelli,Left,crowding,2
S6,radial,10,0,10,5.72911436211195,4.09222454436568,Sloan,Right,crowding,2
S6,radial,-10,-0,10,5.35731343005749,3.82665245004107,Sloan,Left,crowding,2
S6,radial,0,10,10,5.39111351478971,3.85079536770694,Sloan,Upper,crowding,2
S6,radial,-0,-10,10,4.39401101518911,3.13857929656365,Sloan,Lower,crowding,2
S6,radial,5,0,5,0.811202033573374,0.579430023980981,Sloan,Right,crowding,2
S6,radial,-5,-0,5,1.03090258433283,0.736358988809164,Sloan,Left,crowding,2
S6,radial,0,5,5,2.48430622781846,1.77450444844176,Sloan,Upper,crowding,2
S6,radial,-0,-5,5,1.06470266906505,0.760501906475038,Sloan,Lower,crowding,2
S6,radial,10,0,10,2.8223070751407,2.0159336251005,Sloan,Right,crowding,1
S6,radial,-10,-0,10,4.54611139648412,3.24722242606008,Sloan,Left,crowding,1
S6,radial,0,10,10,5.15451292166415,3.68179494404582,Sloan,Upper,crowding,1
S6,radial,-0,-10,10,5.32351334532527,3.80250953237519,Sloan,Lower,crowding,1
S6,radial,5,0,5,1.16610292326173,0.832930659472661,Pelli,Right,crowding,1
S6,radial,-5,-0,5,1.25060313509228,0.893287953637346,Pelli,Left,crowding,1
S6,tangential,5,0,5,0.490101228617247,0.350072306155177,Sloan,Right,crowding,1
S6,tangential,-5,-0,5,0.591501482813918,0.422501059152799,Sloan,Left,crowding,1
S6,horizontal,0,0,0,0.0710211829608883,0.0507294164006345,Pelli,fovea,crowding,1
S6,horizontal,0,0,0,0.118368638268147,0.0862652388174861,Sloan,fovea,acuity,1
S6,radial,5,0,5,0.997102499600605,0.71221607114329,Sloan,Right,crowding,1
S6,radial,-5,-0,5,0.794301991207262,0.567358565148044,Sloan,Left,crowding,1
S6,radial,0,5,5,2.90680728697126,2.07629091926518,Sloan,Upper,crowding,1
S6,radial,-0,-5,5,1.45340364348563,1.03814545963259,Sloan,Lower,crowding,1
S7,radial,5,0,5,1.47030368585174,1.05021691846553,Sloan,Right,crowding,1
S7,radial,-5,-0,5,0.811202033573374,0.579430023980981,Sloan,Left,crowding,1
S7,radial,0,5,5,1.40270351638729,1.00193108313378,Sloan,Upper,crowding,1
S7,radial,-0,-5,5,1.72380432134342,1.23128880095959,Sloan,Lower,crowding,1
S7,radial,10,0,10,2.92370732933737,2.08836237809812,Sloan,Right,crowding,1
S7,radial,-10,-0,10,1.58860398241452,1.13471713029609,Sloan,Left,crowding,1
S7,radial,0,10,10,4.08981025259909,2.92129303757078,Sloan,Upper,crowding,1
S7,radial,-0,-10,10,4.76581194724357,3.40415139088827,Sloan,Lower,crowding,1
S7,radial,5,0,5,0.94640237250227,0.676001694644478,Pelli,Right,crowding,1
S7,radial,-5,-0,5,1.18300296562784,0.845002118305598,Pelli,Left,crowding,1
S7,tangential,5,0,5,0.540801355715583,0.398358141486924,Sloan,Right,crowding,1
S7,tangential,-5,-0,5,0.625301567546142,0.446643976818674,Sloan,Left,crowding,1
S7,horizontal,0,0,0,0.0541113774940101,0.041066670419561,Pelli,fovea,crowding,1
S7,horizontal,0,0,0,0.0710211829608883,0.0503393547982653,Sloan,fovea,acuity,1
S7,horizontal,0,0,0,0.0913129495211421,0.0663174321928204,Sloan,fovea,acuity,2
S7,horizontal,0,0,0,0.0710211829608883,0.0531451028959025,Pelli,fovea,crowding,2
S7,tangential,5,0,5,0.60840152518003,0.434572517985736,Sloan,Right,crowding,2
S7,tangential,-5,-0,5,0.676001694644478,0.494929812150421,Sloan,Left,crowding,2
S7,radial,5,0,5,0.86190216067171,0.615644400479793,Pelli,Right,crowding,2
S7,radial,-5,-0,5,1.14920288089561,0.820859200639724,Pelli,Left,crowding,2
S7,radial,10,0,10,2.78850699040847,1.99179070743462,Sloan,Right,crowding,2
S7,radial,-10,-0,10,2.12940533813011,1.52100381295008,Sloan,Left,crowding,2
S7,radial,0,10,10,4.27571071862632,3.05407908473309,Sloan,Upper,crowding,2
S7,radial,-0,-10,10,4.27571071862632,3.05407908473309,Sloan,Lower,crowding,2
S7,radial,5,0,5,1.23370309272617,0.881216494804409,Sloan,Right,crowding,2
S7,radial,-5,-0,5,0.86190216067171,0.615644400479793,Sloan,Left,crowding,2
S7,radial,0,5,5,1.43650360111952,1.02607400079965,Sloan,Upper,crowding,2
S7,radial,-0,-5,5,1.50410377058396,1.0743598361314,Sloan,Lower,crowding,2
S8,horizontal,0,0,0,0.138660404828401,0.098023265352995,Sloan,fovea,acuity,2
S8,horizontal,0,0,0,0.0946949106145177,0.0676392218675127,Pelli,fovea,crowding,2
S8,tangential,5,0,5,0.625301567546142,0.446643976818674,Sloan,Right,crowding,2
S8,tangential,-5,-0,5,0.60840152518003,0.434572517985736,Sloan,Left,crowding,2
S8,radial,5,0,5,0.709801779376702,0.507001270983359,Pelli,Right,crowding,2
S8,radial,-5,-0,5,0.659101652278366,0.470786894484547,Pelli,Left,crowding,2
S8,radial,10,0,10,1.65620415187897,1.18300296562784,Sloan,Right,crowding,2
S8,radial,-10,-0,10,1.77450444844176,1.2675031774584,Sloan,Left,crowding,2
S8,radial,0,10,10,3.32930834612406,2.37807739008861,Sloan,Upper,crowding,2
S8,radial,-0,-10,10,2.50120627018457,1.78657590727469,Sloan,Lower,crowding,2
S8,radial,5,0,5,0.60840152518003,0.434572517985736,Sloan,Right,crowding,2
S8,radial,-5,-0,5,0.642201609912254,0.45871543565161,Sloan,Left,crowding,2
S8,radial,0,5,5,0.997102499600605,0.71221607114329,Sloan,Upper,crowding,2
S8,radial,-0,-5,5,1.08160271143117,0.772573365307975,Sloan,Lower,crowding,2
S8,radial,5,0,5,0.726701821742814,0.519072729816296,Sloan,Right,crowding,1
S8,radial,-5,-0,5,0.77740194884115,0.555287106315107,Sloan,Left,crowding,1
S8,radial,0,5,5,1.14920288089561,0.820859200639724,Sloan,Upper,crowding,1
S8,radial,-0,-5,5,1.33510334692284,0.953645247802032,Sloan,Lower,crowding,1
S8,radial,10,0,10,2.41670605835401,1.72621861311001,Sloan,Right,crowding,1
S8,radial,-10,-0,10,1.99420499920121,1.42443214228658,Sloan,Left,crowding,1
S8,radial,0,10,10,4.20811054916188,3.00579324940134,Sloan,Upper,crowding,1
S8,radial,-0,-10,10,2.94060737170348,2.10043383693106,Sloan,Lower,crowding,1
S8,radial,5,0,5,0.997102499600605,0.71221607114329,Pelli,Right,crowding,1
S8,radial,-5,-0,5,0.794301991207262,0.567358565148044,Pelli,Left,crowding,1
S8,tangential,5,0,5,0.60840152518003,0.434572517985736,Sloan,Right,crowding,1
S8,tangential,-5,-0,5,0.540801355715583,0.398358141486924,Sloan,Left,crowding,1
S8,horizontal,0,0,0,0.0777851051476396,0.0555607893911712,Pelli,fovea,crowding,1
S8,horizontal,0,0,0,0.10822275498802,0.0801568819904328,Sloan,fovea,acuity,1
S9,horizontal,0,0,0,0.138660404828401,0.0986545680945083,Sloan,fovea,acuity,2
S9,horizontal,0,0,0,0.0913129495211421,0.0652235353722447,Pelli,fovea,crowding,2
S9,tangential,5,0,5,0.540801355715583,0.398358141486924,Sloan,Right,crowding,2
S9,tangential,-5,-0,5,0.676001694644478,0.494929812150421,Sloan,Left,crowding,2
S9,radial,5,0,5,1.31820330455673,0.941573788969095,Pelli,Right,crowding,2
S9,radial,-5,-0,5,1.04780262669894,0.748430447642101,Pelli,Left,crowding,2
S9,radial,10,0,10,1.92660482973676,1.37614630695483,Sloan,Right,crowding,2
S9,radial,-10,-0,10,3.09270775299849,2.20907696642749,Sloan,Left,crowding,2
S9,radial,0,10,10,4.6644116930469,3.33172263789064,Sloan,Upper,crowding,2
S9,radial,-0,-10,10,3.49830876978518,2.49879197841798,Sloan,Lower,crowding,2
S9,radial,5,0,5,0.828102075939486,0.591501482813918,Sloan,Right,crowding,2
S9,radial,-5,-0,5,0.760501906475038,0.54321564748217,Sloan,Left,crowding,2
S9,radial,0,5,5,1.48720372821785,1.06228837729847,Sloan,Upper,crowding,2
S9,radial,-0,-5,5,1.31820330455673,0.941573788969095,Sloan,Lower,crowding,2
S9,radial,5,0,5,0.94640237250227,0.676001694644478,Sloan,Right,crowding,1
S9,radial,-5,-0,5,0.743601864108926,0.531144188649233,Sloan,Left,crowding,1
S9,radial,0,5,5,1.47030368585174,1.05021691846553,Sloan,Upper,crowding,1
S9,radial,-0,-5,5,0.86190216067171,0.615644400479793,Sloan,Lower,crowding,1
S9,radial,10,0,10,1.57170394004841,1.12264567146315,Sloan,Right,crowding,1
S9,radial,-10,-0,10,2.34910588888956,1.67793277777826,Sloan,Left,crowding,1
S9,radial,0,10,10,4.377110972823,3.12650783773071,Sloan,Upper,crowding,1
S9,radial,-0,-10,10,3.17720796482905,2.26943426059218,Sloan,Lower,crowding,1
S9,radial,5,0,5,1.36890343165507,0.977788165467906,Pelli,Right,crowding,1
S9,radial,-5,-0,5,1.31820330455673,0.941573788969095,Pelli,Left,crowding,1
S9,tangential,5,0,5,0.60840152518003,0.434572517985736,Sloan,Right,crowding,1
S9,tangential,-5,-0,5,0.523901313349471,0.374215223821051,Sloan,Left,crowding,1
S9,horizontal,0,0,0,0.0676392218675127,0.0483137299053665,Pelli,fovea,crowding,1
S9,horizontal,0,0,0,0.101458832801269,0.0759395661768485,Sloan,fovea,acuity,1
S10,radial,5,0,5,0.77740194884115,0.555287106315107,Sloan,Right,crowding,1
S10,radial,-5,-0,5,0.997102499600605,0.71221607114329,Sloan,Left,crowding,1
S10,radial,0,5,5,1.47030368585174,1.05021691846553,Sloan,Upper,crowding,1
S10,radial,-0,-5,5,1.21680305036006,0.869145035971472,Sloan,Lower,crowding,1
S10,radial,10,0,10,2.06180516866566,1.47271797761833,Sloan,Right,crowding,1
S10,radial,-10,-0,10,2.264605677059,1.61757548361357,Sloan,Left,crowding,1
S10,radial,0,10,10,3.32930834612406,2.37807739008861,Sloan,Upper,crowding,1
S10,radial,-0,-10,10,3.2448081342935,2.31772009592393,Sloan,Lower,crowding,1
S10,radial,5,0,5,1.03090258433283,0.736358988809164,Pelli,Right,crowding,1
S10,radial,-5,-0,5,1.01400254196672,0.724287529976227,Pelli,Left,crowding,1
S10,tangential,5,0,5,0.760501906475038,0.543215647482171,Sloan,Right,crowding,1
S10,tangential,-5,-0,5,0.625301567546142,0.446643976818674,Sloan,Left,crowding,1
S10,horizontal,0,0,0,0.0845490273343908,0.0628078488769759,Pelli,fovea,crowding,1
S10,horizontal,0,0,0,0.10822275498802,0.0797830942540997,Sloan,fovea,acuity,1
S10,tangential,5,0,5,1.14920288089561,0.83293065947266,Sloan,Right,crowding,2
S10,tangential,-5,-0,5,0.625301567546142,0.446643976818674,Sloan,Left,crowding,2
S10,radial,5,0,5,0.997102499600605,0.71221607114329,Pelli,Right,crowding,2
S10,radial,-5,-0,5,1.1323028385295,0.808787741806787,Pelli,Left,crowding,2
S10,radial,10,0,10,2.01110504156732,1.43650360111952,Sloan,Right,crowding,2
S10,radial,-10,-0,10,2.11250529576399,1.50893235411714,Sloan,Left,crowding,2
S10,radial,0,10,10,3.32930834612406,2.37807739008861,Sloan,Upper,crowding,2
S10,radial,-0,-10,10,3.05890766826626,2.18493404876162,Sloan,Lower,crowding,2
S10,radial,5,0,5,0.912602287770046,0.651858776978604,Sloan,Right,crowding,2
S10,radial,-5,-0,5,0.963302414868382,0.688073153477415,Sloan,Left,crowding,2
S10,radial,0,5,5,1.30130326219062,0.929502330136158,Sloan,Upper,crowding,2
S10,radial,-0,-5,5,1.14920288089561,0.820859200639724,Sloan,Lower,crowding,2
S10,horizontal,0,0,0,0.10822275498802,0.0784959703526195,Sloan,fovea,acuity,2
S10,horizontal,0,0,0,0.0710211829608883,0.0507294164006345,Pelli,fovea,crowding,2
S11,radial,5,0,5,0.929502330136158,0.663930235811541,Sloan,Right,crowding,1
S11,radial,-5,-0,5,1.14920288089561,0.820859200639724,Sloan,Left,crowding,1
S11,radial,0,5,5,2.07870521103177,1.48478943645127,Sloan,Upper,crowding,1
S11,radial,-0,-5,5,1.63930410951286,1.1709315067949,Sloan,Lower,crowding,1
S11,radial,10,0,10,2.61950656674735,1.87107611910525,Sloan,Right,crowding,1
S11,radial,-10,-0,10,5.3742134724236,3.838723908874,Sloan,Left,crowding,1
S11,radial,0,10,10,4.17431046442965,2.98165033173547,Sloan,Upper,crowding,1
S11,radial,-0,-10,10,3.44760864268684,2.46257760191917,Sloan,Lower,crowding,1
S11,radial,5,0,5,1.80830453317398,1.29164609512427,Pelli,Right,crowding,1
S11,radial,-5,-0,5,1.65620415187897,1.18300296562784,Pelli,Left,crowding,1
S11,tangential,5,0,5,0.77740194884115,0.567358565148044,Sloan,Right,crowding,1
S11,tangential,-5,-0,5,0.845002118305598,0.603572941646856,Sloan,Left,crowding,1
S11,horizontal,0,0,0,0.0676392218675127,0.0483137299053665,Pelli,fovea,crowding,1
S11,horizontal,0,0,0,0.138660404828401,0.0987150885061009,Sloan,fovea,acuity,1
S11,horizontal,0,0,0,0.118368638268147,0.0870396168918765,Sloan,fovea,acuity,2
S11,horizontal,0,0,0,0.0710211829608883,0.0507294164006345,Pelli,fovea,crowding,2
S11,tangential,5,0,5,0.743601864108926,0.531144188649234,Sloan,Right,crowding,2
S11,tangential,-5,-0,5,0.86190216067171,0.615644400479793,Sloan,Left,crowding,2
S11,radial,5,0,5,1.35200338928896,0.965716706634969,Pelli,Right,crowding,2
S11,radial,-5,-0,5,1.31820330455673,0.941573788969095,Pelli,Left,crowding,2
S11,radial,10,0,10,2.51810631255068,1.79864736610763,Sloan,Right,crowding,2
S11,radial,-10,-0,10,3.29550826139183,2.35393447242274,Sloan,Left,crowding,2
S11,radial,0,10,10,4.74891190487746,3.39207993205533,Sloan,Upper,crowding,2
S11,radial,-0,-10,10,3.70110927817852,2.64364948441323,Sloan,Lower,crowding,2
S11,radial,5,0,5,0.77740194884115,0.555287106315107,Sloan,Right,crowding,2
S11,radial,-5,-0,5,1.03090258433283,0.736358988809164,Sloan,Left,crowding,2
S11,radial,0,5,5,1.8421046179062,1.31578901279015,Sloan,Upper,crowding,2
S11,radial,-0,-5,5,1.77450444844176,1.2675031774584,Sloan,Lower,crowding,2
S12,radial,5,0,5,0.86190216067171,0.615644400479793,Sloan,Right,crowding,1
S12,radial,-5,-0,5,1.03090258433283,0.736358988809164,Sloan,Left,crowding,1
S12,radial,0,5,5,1.23370309272617,0.881216494804409,Sloan,Upper,crowding,1
S12,radial,-0,-5,5,1.47030368585174,1.05021691846553,Sloan,Lower,crowding,1
S12,radial,10,0,10,1.4196035587534,1.01400254196672,Sloan,Right,crowding,1
S12,radial,-10,-0,10,2.04490512629955,1.46064651878539,Sloan,Left,crowding,1
