,ProlificParticipantID,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logBouma,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP,logRSVP
font,,Agoesa,Arial,Baskerville,Caslon,Courier,Edwardian,Extenda,Frutiger,Georgia,HautRelief,LeMonde,Letraflex,LiebeLotte,Museo,Omfug,Optimistic,ProximaNova,Rollerscript,Sabon,ScarletWood,TheSans,TimesNewRoman,Tiny,Zapfino,Agoesa,Arial,Baskerville,Caslon,Courier,Edwardian,Extenda,Frutiger,Georgia,HautRelief,LeMonde,Letraflex,LiebeLotte,Museo,Omfug,Optimistic,ProximaNova,Rollerscript,Sabon,ScarletWood,TheSans,TimesNewRoman,Tiny,Zapfino
71,610aa9112817841658750e58,-0.815927471212743,,,,,,,,,,-1.15969142190656,,,,,,-1.19441459082493,,,,,,,,3.0649981978836434,,,,,,,,,,3.089166239383644,,,,,,3.2427086448836437,,,,,,,
72,6110a371c00388d587922ff1,,,,,,0.5901537038451565,,,-0.35770912329301896,,,,,-0.5608321331959495,,,,,,,,,,,,,,,,2.4991767713836435,,,0.6640549023836438,,,,,2.9495050273836436,,,,,,,,,,
73,611291090e626fdfde536f38,,,,,,-0.0842958187940488,,,-0.535368928694837,,,,,-0.841548751207492,,,,,,,,,,,,,,,,2.8678107183836437,,,2.9911859218836425,,,,,2.989533854383644,,,,,,,,,,
74,6116f60ae8f48f7d1244e8d3,,,,-0.3916357330109575,-0.30856287249186,,,,,,,,0.1070046223070564,,,,,,,,,,,,,,,2.787943518883644,2.8293775803836434,,,,,,,,2.7794619153836435,,,,,,,,,,,
75,613366e345d6b43d9fd2988e,,,-0.038914657057420296,,,,,,,,,,,,,,,,,0.0022795202723567987,,,,,,,2.788693926883643,,,,,,,,,,,,,,,2.7046482723836434,,2.751416475383644,,,,
76,6159fb27b6340dda3fc6a5c3,-1.10381037058714,,,,,,,,,,-1.03693287821703,,,,,,-1.06569312631715,,,,,,,,3.3762162618836435,,,,,,,,,,,,,,,,,,,,,,,
77,62728a4122289635e97d12f2,,,,-0.5702137677796826,-0.7506618410545455,,,,,,,,-0.04496874157238735,,,,,,,,,,,,,,,2.914177896883644,2.9778478073836445,,,,,,,,2.9141618513836436,,,,,,,,,,,
78,628c2454c8c66010dd87391d,,,,,,0.32918384089105146,,,-0.308578929376724,,,,,-0.397729318675932,,,,,,,,,,,,,,,,2.7533668023836437,,,2.849744710883644,,,,,2.9663372573836435,,,,,,,,,,
79,62c63362e7342ad8be294866,,,,,,,,,,,,,,,-0.2532835740336795,,,,,,,-0.594832258306609,,0.0346905060337853,,,,,,,,,,,,,,,2.6373198753836435,,,,,,,2.770599902383643,,2.6622973938836436
80,62ceba5fdab49dfc90278cbb,,,,-0.7248360915420955,-0.684220330110405,,,,,,,,-0.1382871559802945,,,,,,,,,,,,,,,2.682628158883644,2.9548217078836436,,,,,,,,2.7815102798836433,,,,,,,,,,,
81,62d43cee3d60ac98c1dcacc8,,,,,,-0.12128723469411448,,,-1.21078133529508,,,,,-1.27145715932184,,,,,,,,,,,,,,,,3.0043311708836438,,,3.080985738383643,,,,,3.1553266378836433,,,,,,,,,,
82,62e036569eccf0c9324081b6,-0.0156148635776049,,,,,,,,,,-0.656128714365209,,,,,,,,,,,,,,2.906822243383644,,,,,,,,,,3.0431420218836442,,,,,,3.128141097883644,,,,,,,
83,62e3f0611e915fdb3ff8b15f,,,,,,,,-0.8200367447241415,,-0.4522909394292129,,,,,,,,,-0.9266528226308146,,,,,,,,,,,,,2.923236573883644,,2.9204187733836435,,,,,,,,,3.1317469398836444,,,,,
84,62fc25ef4ce0d3d169b7a120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3823980063836436,,,,,,,,,,,,,,
85,62fcd9d412c2f366e0df8de0,,,,,,,,,,,,,,,,-0.9279654479200135,,,,,-0.848974579369692,,0.0156931617600238,,,,,,,,,,,,,,,,,3.038260854883644,,,,,3.1150221888836427,,3.114313461883643,
86,63197fd7937a764ff92e0fea,,,-0.8848861125038661,,,,,,,,,,,,,,,-0.07143651690263834,,-0.9487471360545989,,,,,,,3.130532046383645,,,,,,,,,,,,,,,2.921016781883643,,3.1035913893836438,,,,
87,631f3abc8826b6e7e8982648,,,,,,,,-0.607343736576723,,-0.0001727958020158009,,,,,,,,,-0.619398087466472,,,,,,,,,,,,,2.9463100938836435,,2.8949739498836435,,,,,,,,,2.9080174973836446,,,,,
88,63254db937c17e8e9200fd54,,,,,,,,,,,,,,,-0.0890441073654944,,,,,,,-0.4548465589564535,,0.09448302624171845,,,,,,,,,,,,,,,2.578499458383644,,,,,,,2.7653323058836436,,2.7747711263836434
89,632b947efa9da6a9bde31f94,,,,,,,,,,,,,,,,-0.8171487423187811,,,,,-1.003485403996093,,0.4990521349249285,,,,,,,,,,,,,,,,,2.7199359523836435,,,,,2.785362327383644,,2.4971122088836433,
90,6337cba5cbed8cb3514a6504,,,,,,,,,,,,,,,-0.507423856948222,,,,,,,-0.8584076731192035,,-0.16524304343940235,,,,,,,,,,,,,,,2.5282916168836436,,,,,,,2.8815579668836433,,2.486964847383643
91,634696400ff1ac25ed01ad11,,-0.6197329712463835,,,,,-0.20722671057706948,,,,,-0.35302247251178354,,,,,,,,,,,,,,3.068298029383645,,,,,3.187497134883644,,,,,3.0850809313836445,,,,,,,,,,,,
92,63643728a38eaad0e7a70ee4,,,,,,,,,,,,,,,-0.12171484490153771,,,,,,,-0.963653427531455,,-0.2482823934009645,,,,,,,,,,,,,,,2.637025229383643,,,,,,,2.8931414663836437,,2.755172036883643
93,636da58a0d76bbb9167dbf3e,,,,,,0.21526024689879703,,,-0.597525798751496,,,,,-0.63322641163771,,,,,,,,,,,,,,,,2.794465761383644,,,2.9144591908836435,,,,,3.059357213383643,,,,,,,,,,
94,63d13dbf2d8a41f897c4d8fd,0.2787739589404665,,,,,,,,,,-0.35807512178180645,,,,,,-0.6802305305416531,,,,,,,,2.8307116583836436,,,,,,,,,,2.854995331883644,,,,,,2.8630377503836435,,,,,,,
95,63f8aeb6c9098e0ef3bf3553,,,,,,,,,-0.9938015305610806,,,,,-1.16328291977738,,,,,,,,,,,,,,,,3.353985258883644,,,3.418267621383644,,,,,3.3731431673836427,,,,,,,,,,
96,63fa2f029381a13d9f2a36a8,,,-0.5791328129302625,,,,,,,,,,,,,,,0.0812677177094641,,-0.462377193271236,,,,,,,3.1980957843836446,,,,,,,,,,,,,,,3.1632802333836443,,3.1626767978836425,,,,
97,6400dd2b5b4a2803b2fce1dc,,,,,,,,,,,,,,,,-0.873730435918707,,,,,-0.8710569592330679,,0.201472518492682,,,,,,,,,,,,,,,,,3.303037603883644,,,,,3.270696573883643,,3.008980000883643,
98,640d43c9451ce148162a7643,,,,,,,,,,,,,,,-0.276807673687668,,,,,,,-0.6196542014708055,,-0.302692902385488,,,,,,,,,,,,,,,2.8235559638836434,,,,,,,3.0265299283836438,,2.898307168883644
99,641081a1261eb10752b72497,,,,,,,,,,,,,,,,-0.192400565023254,,,,,-0.31628410698613996,,0.39374079485496305,,,,,,,,,,,,,,,,,2.9344939688836433,,,,,3.064066237383644,,2.7266630968836436,
100,64a6e31ef9a471c4f100c91f,,,,-0.625275700477746,-0.6100665151370195,,,,,,,,-0.0478189567832797,,,,,,,,,,,,,,,2.837596344383644,2.521568654383644,,,,,,,,2.5966520958836434,,,,,,,,,,,
101,650ee274aa4447ac435b7830,,,,,,,,,,,,,,,0.22525672592912,,,,,,,-0.4837061343179705,,0.297401445382652,,,,,,,,,,,,,,,2.3987411308836437,,,,,,,2.779239301883644,,2.5806017493836437
102,651034a4f128b24845c86772,-0.837914060316666,,,,,,,,,,-1.3578417275951549,,,,,,-1.330478279619145,,,,,,,,2.958820003383644,,,,,,,,,,3.214660498383644,,,,,,3.235993270883644,,,,,,,
103,65328dce159245f95fdd4e13,,,,,,,,,,,,,,,-0.495276448330259,,,,,,,-1.18657108799547,,,,,,,,,,,,,,,,,3.0417565228836443,,,,,,,3.1298760878836442,,3.1728973333836428
104,6543b0ff78de482130930dbc,,,,,,,,,,,,,,,,-0.814186361187847,,,,,-0.559784354218352,,0.0856681713705765,,,,,,,,,,,,,,,,,2.7942632043836433,,,,,2.7309936153836443,,2.6916907508836436,
105,6544ff9e0fb2eaaf83e2de5c,,,,,,,,,,,,,,,-0.1635363266659695,,,,,,,-0.7652008976217124,,-0.05893663313164,,,,,,,,,,,,,,,2.8928241503836434,,,,,,,3.1210034773836437,,2.9820419943836436
106,65490276dc42961a8e1cdec3,,,,,,,,,,,,,,,,-0.4478518717482615,,,,,,,0.36861107852309805,,,,,,,,,,,,,,,,,2.7367965283836435,,,,,2.977595853383644,,2.652584575883643,
107,654e3fca4ff8d33df725feae,0.116042834883296,,,,,,,,,,-0.494368903902374,,,,,,-0.621474241917986,,,,,,,,2.3048102753836437,,,,,,,,,,3.0162181273836435,,,,,,3.1246957423836434,,,,,,,
108,655f93b2b4482d62ae2483c9,,,,,,,,,,,,,,,-0.1937029126805225,,,,,,,-0.4289341220391515,,0.034449857574970155,,,,,,,,,,,,,,,2.784527500383644,,,,,,,2.803396478883643,,2.7058923453836434
